s_3246	s_3292	s_3257	s_3252	s_3279	s_3266	s_3258	s_3226	s_3210	s_3213	s_3238	s_3263	s_3249	s_3233	s_3209	s_3305	s_3287	s_3296	s_3270	s_3254	s_3242	s_3267	s_3253	s_3216	s_3250	s_3288	s_3262	s_3219	s_3291	s_3276	s_3227	s_3274	s_3236	s_3230	s_3235	s_3286	s_3284	s_3229	s_3240	s_3244	s_3260	s_3297	s_3272	s_3281	s_3261	s_3228	s_3273	s_3215	s_3285	s_3264	s_3237	s_3248	s_3214	s_3225	s_3255	s_3303	s_3289
s_3238 0.00297379 0.04846760 0.00106192 0.00346969 0.00393007 0.03284473 0.00162566 0.00340424 0.00328770 0.00293942 0 0.00093340 0.00058279 0.00043355 0.00316082 0.00589337 0.00348917 0.04788907 0.00351338 0.00195289 0.00449036 0.03221044 0.00288673 0.00205039 0.00037341 0.00198352 0.00288480 0.00603052 0.04899496 0.00130730 0.00203195 0.00361755 0.00343166 0.00211428 0.00345966 0.00340842 0.00341433 0.00395398 0.00262629 0.00323990 0.00348915 0.04845116 0.00225964 0.00120991 0.00312151 0.00376035 0.00153925 0.00211294 0.00343064 0.00043279 0.00335038 0.00048850 0.00226396 0.00354350 0.00061322 0.00188369 0.00206585
s_3263 0.00316789 0.04833183 0.00108262 0.00362355 0.00421222 0.03159353 0.00158494 0.00349381 0.00351448 0.00281679 0.00093340 0 0.00069579 0.00060144 0.00322027 0.00606560 0.00361206 0.04808157 0.00363436 0.00199710 0.00484976 0.03160783 0.00314081 0.00208202 0.00055121 0.00203938 0.00320695 0.00616867 0.04883580 0.00128123 0.00207441 0.00366951 0.00349890 0.00215402 0.00362072 0.00357475 0.00348067 0.00392333 0.00270385 0.00356315 0.00347467 0.04841282 0.00230654 0.00117402 0.00320828 0.00373521 0.00160595 0.00211517 0.00354703 0.00047850 0.00358508 0.00061935 0.00226063 0.00358333 0.00061726 0.00203855 0.00213401
s_3249 0.00292191 0.04882259 0.00085620 0.00342363 0.00364257 0.03518008 0.00156772 0.00335895 0.00302190 0.00299297 0.00058279 0.00069579 0 0.00029140 0.00292711 0.00596684 0.00347494 0.04838782 0.00317515 0.00206847 0.00431120 0.03690833 0.00288074 0.00189691 0.00024078 0.00187393 0.00292461 0.00560213 0.04934030 0.00115778 0.00189772 0.00351329 0.00338938 0.00195395 0.00312842 0.00343104 0.00341821 0.00413752 0.00277792 0.00305163 0.00340475 0.04877025 0.00212691 0.00102939 0.00300502 0.00410433 0.00133098 0.00189202 0.00339164 0.00028487 0.00308756 0.00031338 0.00203268 0.00347466 0.00043273 0.00186933 0.00194203
s_3233 0.00274112 0.04795982 0.00073920 0.00326942 0.00388724 0.03416096 0.00131461 0.00317526 0.00318584 0.00256264 0.00043355 0.00060144 0.00029140 0 0.00291216 0.00571053 0.00324638 0.04740201 0.00325794 0.00160840 0.00423958 0.03470325 0.00276132 0.00173487 0.00007721 0.00165293 0.00275382 0.00567293 0.04844416 0.00102706 0.00172566 0.00331659 0.00319570 0.00177780 0.00315440 0.00320523 0.00317140 0.00372050 0.00233758 0.00311469 0.00319133 0.04788986 0.00193641 0.00090456 0.00286392 0.00348544 0.00119577 0.00178128 0.00318304 0.00011206 0.00324771 0.00020630 0.00192238 0.00330749 0.00028459 0.00157759 0.00173983
s_3209 0.00156566 0.04667337 0.00395202 0.00392096 0.00141214 0.03982955 0.00408498 0.00398959 0.00047060 0.00494968 0.00316082 0.00322027 0.00292711 0.00291216 0 0.00660115 0.00389532 0.04705559 0.00061767 0.00395340 0.00139498 0.03792654 0.00158849 0.00357940 0.00286455 0.00371565 0.00158344 0.00231610 0.04777160 0.00265027 0.00359626 0.00376632 0.00389653 0.00376457 0.00052197 0.00387775 0.00346235 0.00591555 0.00308837 0.00050466 0.00355662 0.04674176 0.00374045 0.00326290 0.00165037 0.00569364 0.00485152 0.00357015 0.00376587 0.00296315 0.00136181 0.00319285 0.00367269 0.00356321 0.00311128 0.00373410 0.00342995
s_3305 0.00567097 0.04797044 0.00658986 0.00670227 0.00803335 0.09714898 0.00543172 0.00651934 0.00656384 0.00619844 0.00589337 0.00606560 0.00596684 0.00571053 0.00660115 0 0.00653671 0.04672840 0.00691541 0.00506693 0.00793373 0.09585873 0.00564129 0.00516726 0.00577695 0.00513839 0.00578292 0.00998817 0.04902614 0.00566410 0.00509989 0.00792144 0.00647023 0.00515117 0.00679527 0.00665542 0.00615241 0.00667304 0.00655044 0.00674705 0.00632956 0.04782392 0.00526011 0.00618340 0.00573284 0.00668032 0.00656031 0.00513988 0.00654850 0.00577532 0.00675873 0.00554546 0.00527270 0.00650678 0.00596428 0.00515849 0.00515298
s_3287 0.00308349 0.04635494 0.00423839 0.00029522 0.00461649 0.08540647 0.00216805 0.00115699 0.00384966 0.00478448 0.00348917 0.00361206 0.00347494 0.00324638 0.00389532 0.00653671 0 0.04630346 0.00413226 0.00386022 0.00478994 0.08497066 0.00306127 0.00401275 0.00330189 0.00391436 0.00314211 0.00649500 0.04704655 0.00280113 0.00386460 0.00478665 0.00119716 0.00396969 0.00396711 0.00024807 0.00117965 0.00593587 0.00332050 0.00390450 0.00118125 0.04630895 0.00416450 0.00393667 0.00313696 0.00593766 0.00471146 0.00397066 0.00025833 0.00331833 0.00422500 0.00322330 0.00409520 0.00122538 0.00343249 0.00386804 0.00391851
s_3296 0.04820905 0.00024829 0.04895790 0.04689530 0.04731268 0.09175881 0.04524139 0.04742768 0.04636698 0.04892155 0.04788907 0.04808157 0.04838782 0.04740201 0.04705559 0.04672840 0.04630346 0 0.04666665 0.04722098 0.04675083 0.09050557 0.04752028 0.04827413 0.04846223 0.04726083 0.04836174 0.04777534 0.00047790 0.04831860 0.04620431 0.04718718 0.04614056 0.04838603 0.04638443 0.04651668 0.04474830 0.04679012 0.04754852 0.04632183 0.04612862 0.00022396 0.04747253 0.05060536 0.04629818 0.04953735 0.04896653 0.04816195 0.04595071 0.04818039 0.04504140 0.04656920 0.04809544 0.04707085 0.04812974 0.04723350 0.04659133
s_3270 0.00163711 0.04735953 0.00494671 0.00401059 0.00116413 0.05506463 0.00371676 0.00350924 0.00024851 0.00576278 0.00351338 0.00363436 0.00317515 0.00325794 0.00061767 0.00691541 0.00413226 0.04666665 0 0.00410607 0.00098866 0.05647649 0.00159258 0.00413361 0.00321553 0.00428753 0.00166326 0.00205572 0.04765873 0.00275233 0.00394981 0.00369998 0.00353713 0.00433477 0.00023110 0.00405109 0.00350926 0.00639596 0.00304520 0.00017366 0.00351165 0.04735939 0.00429397 0.00415966 0.00172163 0.00627484 0.00464949 0.00411359 0.00405094 0.00343043 0.00114619 0.00319993 0.00421928 0.00361791 0.00360108 0.00404222 0.00399014
s_3254 0.00372434 0.04705868 0.00248569 0.00393349 0.00444881 0.03378867 0.00282284 0.00413501 0.00419184 0.00098791 0.00195289 0.00199710 0.00206847 0.00160840 0.00395340 0.00506693 0.00386022 0.04722098 0.00410607 0 0.00527730 0.03518924 0.00370100 0.00017730 0.00159077 0.00010307 0.00364956 0.00682158 0.04804986 0.00241897 0.00018346 0.00507513 0.00427346 0.00016938 0.00408837 0.00382255 0.00366462 0.00201774 0.00387283 0.00393495 0.00376174 0.04695693 0.00035453 0.00219728 0.00368221 0.00179840 0.00341598 0.00017378 0.00381275 0.00161941 0.00402514 0.00200278 0.00027796 0.00386963 0.00177785 0.00009952 0.00018265
s_3242 0.00240541 0.04626311 0.00639923 0.00480967 0.00201946 0.04782304 0.00485130 0.00427223 0.00091083 0.00668094 0.00449036 0.00484976 0.00431120 0.00423958 0.00139498 0.00793373 0.00478994 0.04675083 0.00098866 0.00527730 0 0.04688577 0.00237514 0.00529789 0.00449504 0.00543262 0.00239970 0.00291159 0.04736725 0.00389257 0.00473239 0.00507152 0.00423286 0.00530291 0.00089483 0.00479554 0.00420203 0.00689302 0.00435222 0.00087522 0.00426466 0.04626062 0.00531352 0.00510196 0.00240183 0.00716769 0.00639518 0.00494229 0.00480754 0.00476290 0.00170463 0.00455603 0.00509101 0.00429982 0.00489373 0.00518676 0.00514564
s_3267 0.05470437 0.09121653 0.03506852 0.05753776 0.04553529 0.00005845 0.03399161 0.04402879 0.04124563 0.03473590 0.03221044 0.03160783 0.03690833 0.03470325 0.03792654 0.09585873 0.08497066 0.09050557 0.05647649 0.03518924 0.04688577 0 0.05375699 0.03476607 0.03135852 0.04078171 0.05379508 0.04311181 0.09273086 0.06466248 0.03585685 0.05163304 0.04433684 0.03610110 0.04643699 0.08513421 0.07016466 0.02647211 0.03569430 0.04159914 0.05142882 0.09038424 0.03922515 0.04259037 0.05167805 0.02944470 0.02642468 0.03463795 0.08600726 0.03714208 0.03943454 0.03336720 0.03487071 0.04890878 0.03704500 0.04154702 0.04034298
