s_3246	s_3292	s_3257	s_3252	s_3279	s_3266	s_3258	s_3226	s_3210	s_3213	s_3238	s_3263	s_3249	s_3233	s_3209	s_3305	s_3287	s_3296	s_3270	s_3254	s_3242	s_3267	s_3253	s_3216	s_3250	s_3288	s_3262	s_3219	s_3291	s_3276	s_3227	s_3274	s_3236	s_3230	s_3235	s_3286	s_3284	s_3229	s_3240	s_3244	s_3260	s_3297	s_3272	s_3281	s_3261	s_3228	s_3273	s_3215	s_3285	s_3264	s_3237	s_3248	s_3214	s_3225	s_3255	s_3303	s_3289
s_3236 0.00279955 0.04635946 0.00433388 0.00119072 0.00420916 0.04231699 0.00223893 0.00076796 0.00333539 0.00477409 0.00343166 0.00349890 0.00338938 0.00319570 0.00389653 0.00647023 0.00119716 0.04614056 0.00353713 0.00427346 0.00423286 0.04433684 0.00281623 0.00385874 0.00316003 0.00375638 0.00285029 0.00630295 0.04690106 0.00250683 0.00366727 0.00438814 0 0.00382182 0.00348347 0.00114410 0.00016365 0.00671014 0.00326684 0.00344519 0.00021170 0.04630004 0.00402160 0.00373068 0.00287919 0.00545411 0.00474587 0.00385212 0.00111848 0.00316190 0.00389923 0.00372268 0.00391619 0.00035147 0.00329911 0.00375350 0.00380234
s_3230 0.00368041 0.04799581 0.00257813 0.00394025 0.00456644 0.03564280 0.00256492 0.00385916 0.00417561 0.00108695 0.00211428 0.00215402 0.00195395 0.00177780 0.00376457 0.00515117 0.00396969 0.04838603 0.00433477 0.00016938 0.00530291 0.03610110 0.00365808 0.00022572 0.00172123 0.00013396 0.00372930 0.00653359 0.04882692 0.00209977 0.00024130 0.00526975 0.00382182 0 0.00421004 0.00388981 0.00369675 0.00216045 0.00385913 0.00419400 0.00384266 0.04793803 0.00040844 0.00225505 0.00375781 0.00187024 0.00321818 0.00023169 0.00386274 0.00174393 0.00431839 0.00188483 0.00034576 0.00387370 0.00192916 0.00012957 0.00023295
s_3235 0.00155157 0.04678640 0.00478396 0.00398532 0.00106834 0.04611072 0.00391769 0.00341423 0.00015753 0.00568739 0.00345966 0.00362072 0.00312842 0.00315440 0.00052197 0.00679527 0.00396711 0.04638443 0.00023110 0.00408837 0.00089483 0.04643699 0.00158693 0.00430803 0.00319252 0.00399791 0.00158108 0.00197926 0.04714640 0.00267214 0.00387923 0.00362808 0.00348347 0.00421004 0 0.00391599 0.00340659 0.00632336 0.00293130 0.00008845 0.00348680 0.04678136 0.00420642 0.00406519 0.00163350 0.00617042 0.00455780 0.00401289 0.00406174 0.00337637 0.00107639 0.00329913 0.00410955 0.00353896 0.00355607 0.00399837 0.00387587
s_3286 0.00305808 0.04658889 0.00425176 0.00025645 0.00457230 0.08510049 0.00208230 0.00107889 0.00380118 0.00471993 0.00340842 0.00357475 0.00343104 0.00320523 0.00387775 0.00665542 0.00024807 0.04651668 0.00405109 0.00382255 0.00479554 0.08513421 0.00304080 0.00395235 0.00325576 0.00391487 0.00305919 0.00642686 0.04707183 0.00275824 0.00385945 0.00465142 0.00114410 0.00388981 0.00391599 0 0.00115585 0.00589829 0.00331990 0.00387632 0.00117571 0.04655818 0.00408815 0.00382616 0.00304892 0.00592849 0.00470273 0.00389739 0.00022746 0.00327713 0.00417294 0.00322862 0.00401129 0.00120738 0.00340027 0.00387740 0.00390132
s_3284 0.00278246 0.04456926 0.00424350 0.00125242 0.00393561 0.07006538 0.00153230 0.00010489 0.00325920 0.00460857 0.00341433 0.00348067 0.00341821 0.00317140 0.00346235 0.00615241 0.00117965 0.04474830 0.00350926 0.00366462 0.00420203 0.07016466 0.00282096 0.00373285 0.00319862 0.00356539 0.00286002 0.00569092 0.04505618 0.00251391 0.00360691 0.00455186 0.00016365 0.00369675 0.00340659 0.00115585 0 0.00606940 0.00325196 0.00338673 0.00017183 0.04450054 0.00393998 0.00394431 0.00278308 0.00522708 0.00431275 0.00374116 0.00117356 0.00320529 0.00378724 0.00330757 0.00381311 0.00026521 0.00333184 0.00358794 0.00360018
s_3229 0.00584859 0.04606928 0.00402363 0.00599232 0.00635152 0.02721450 0.00502839 0.00646229 0.00652924 0.00305850 0.00395398 0.00392333 0.00413752 0.00372050 0.00591555 0.00667304 0.00593587 0.04679012 0.00639596 0.00201774 0.00689302 0.02647211 0.00614423 0.00221653 0.00356756 0.00202468 0.00613712 0.00922993 0.04728269 0.00420087 0.00211043 0.00682374 0.00671014 0.00216045 0.00632336 0.00589829 0.00606940 0 0.00600047 0.00651105 0.00610558 0.04599467 0.00234671 0.00373327 0.00593824 0.00399415 0.00529337 0.00214725 0.00600698 0.00361145 0.00659822 0.00390979 0.00231973 0.00627423 0.00373447 0.00200638 0.00207317
s_3240 0.00358113 0.04795828 0.00331873 0.00337069 0.00347290 0.03457781 0.00243608 0.00316067 0.00300256 0.00492316 0.00262629 0.00270385 0.00277792 0.00233758 0.00308837 0.00655044 0.00332050 0.04754852 0.00304520 0.00387283 0.00435222 0.03569430 0.00362789 0.00386839 0.00233773 0.00384137 0.00362335 0.00518544 0.04844268 0.00307086 0.00373360 0.00087850 0.00326684 0.00385913 0.00293130 0.00331990 0.00325196 0.00600047 0 0.00289979 0.00331349 0.04785097 0.00414651 0.00348811 0.00365510 0.00581380 0.00315057 0.00384105 0.00321644 0.00232432 0.00335978 0.00240367 0.00397020 0.00337395 0.00245914 0.00374610 0.00391499
s_3244 0.00151985 0.04631204 0.00471114 0.00388314 0.00102163 0.04291488 0.00385502 0.00345892 0.00012561 0.00560206 0.00323990 0.00356315 0.00305163 0.00311469 0.00050466 0.00674705 0.00390450 0.04632183 0.00017366 0.00393495 0.00087522 0.04159914 0.00147583 0.00404841 0.00313421 0.00418073 0.00146138 0.00191465 0.04701738 0.00260949 0.00376624 0.00348916 0.00344519 0.00419400 0.00008845 0.00387632 0.00338673 0.00651105 0.00289979 0 0.00344507 0.04635662 0.00405852 0.00398750 0.00157699 0.00618609 0.00450253 0.00399833 0.00391760 0.00322915 0.00094463 0.00312559 0.00408602 0.00351069 0.00349675 0.00391017 0.00403553
s_3260 0.00280997 0.04635920 0.00421455 0.00120856 0.00384685 0.05007184 0.00161043 0.00021330 0.00332568 0.00476150 0.00348915 0.00347467 0.00340475 0.00319133 0.00355662 0.00632956 0.00118125 0.04612862 0.00351165 0.00376174 0.00426466 0.05142882 0.00289178 0.00382264 0.00322379 0.00373983 0.00276701 0.00571839 0.04687989 0.00246130 0.00365522 0.00439070 0.00021170 0.00384266 0.00348680 0.00117571 0.00017183 0.00610558 0.00331349 0.00344507 0 0.04629350 0.00394290 0.00367288 0.00282881 0.00541101 0.00419568 0.00379949 0.00116174 0.00317416 0.00380974 0.00335277 0.00391896 0.00030690 0.00335750 0.00373898 0.00380977
s_3297 0.04824842 0.00019851 0.04852363 0.04701887 0.04662792 0.08945605 0.04442077 0.04691444 0.04682892 0.04851261 0.04845116 0.04841282 0.04877025 0.04788986 0.04674176 0.04782392 0.04630895 0.00022396 0.04735939 0.04695693 0.04626062 0.09038424 0.04799165 0.04808187 0.04898640 0.04731467 0.04848539 0.04751240 0.00045762 0.04747171 0.04575127 0.04688259 0.04630004 0.04793803 0.04678136 0.04655818 0.04450054 0.04599467 0.04785097 0.04635662 0.04629350 0 0.04755294 0.05020593 0.04700647 0.04887378 0.04879893 0.04761722 0.04605815 0.04859346 0.04565376 0.04677528 0.04765088 0.04729962 0.04875093 0.04752294 0.04610216
s_3272 0.00383433 0.04759480 0.00283236 0.00412245 0.00496104 0.03898073 0.00258326 0.00394155 0.00450797 0.00120793 0.00225964 0.00230654 0.00212691 0.00193641 0.00374045 0.00526011 0.00416450 0.04747253 0.00429397 0.00035453 0.00531352 0.03922515 0.00392098 0.00039528 0.00188458 0.00031280 0.00398832 0.00670164 0.04824156 0.00219527 0.00041217 0.00544274 0.00402160 0.00040844 0.00420642 0.00408815 0.00393998 0.00234671 0.00414651 0.00405852 0.00394290 0.04755294 0 0.00238774 0.00385742 0.00217457 0.00335490 0.00040395 0.00405631 0.00191899 0.00413050 0.00194943 0.00051857 0.00406279 0.00209966 0.00031236 0.00040829
s_3281 0.00315170 0.05019878 0.00137012 0.00369152 0.00499413 0.04047992 0.00219764 0.00363346 0.00391861 0.00366697 0.00120991 0.00117402 0.00102939 0.00090456 0.00326290 0.00618340 0.00393667 0.05060536 0.00415966 0.00219728 0.00510196 0.04259037 0.00317180 0.00221464 0.00082364 0.00227433 0.00321387 0.00619682 0.05104575 0.00177758 0.00219118 0.00386398 0.00373068 0.00225505 0.00406519 0.00382616 0.00394431 0.00373327 0.00348811 0.00398750 0.00367288 0.05020593 0.00238774 0 0.00320037 0.00432292 0.00185618 0.00224231 0.00373278 0.00081014 0.00405047 0.00090159 0.00232504 0.00388785 0.00090708 0.00220563 0.00235384
s_3261 0.00015706 0.04702583 0.00385111 0.00314378 0.00255203 0.05171565 0.00310164 0.00277057 0.00140684 0.00507444 0.00312151 0.00320828 0.00300502 0.00286392 0.00165037 0.00573284 0.00313696 0.04629818 0.00172163 0.00368221 0.00240183 0.05167805 0.00016941 0.00380889 0.00285154 0.00360933 0.00016399 0.00437408 0.04759078 0.00230453 0.00345803 0.00370503 0.00287919 0.00375781 0.00163350 0.00304892 0.00278308 0.00593824 0.00365510 0.00157699 0.00282881 0.04700647 0.00385742 0.00320037 0 0.00583334 0.00404710 0.00361904 0.00301214 0.00286585 0.00214472 0.00270742 0.00373691 0.00292373 0.00300631 0.00360047 0.00369123
s_3228 0.00572481 0.04893170 0.00416627 0.00602338 0.00643849 0.02929628 0.00449134 0.00544458 0.00620526 0.00271083 0.00376035 0.00373521 0.00410433 0.00348544 0.00569364 0.00668032 0.00593766 0.04953735 0.00627484 0.00179840 0.00716769 0.02944470 0.00574833 0.00186630 0.00333817 0.00173597 0.00573334 0.00911350 0.04997306 0.00464329 0.00178714 0.00756349 0.00545411 0.00187024 0.00617042 0.00592849 0.00522708 0.00399415 0.00581380 0.00618609 0.00541101 0.04887378 0.00217457 0.00432292 0.00583334 0 0.00473941 0.00180916 0.00586082 0.00333704 0.00622078 0.00350604 0.00195093 0.00538624 0.00353247 0.00175844 0.00184905
s_3273 0.00404291 0.04874693 0.00186839 0.00456922 0.00524063 0.02990461 0.00195383 0.00394969 0.00422008 0.00396791 0.00153925 0.00160595 0.00133098 0.00119577 0.00485152 0.00656031 0.00471146 0.04896653 0.00464949 0.00341598 0.00639518 0.02642468 0.00408654 0.00314611 0.00113063 0.00319436 0.00407443 0.00683771 0.04897118 0.00192727 0.00306309 0.00385713 0.00474587 0.00321818 0.00455780 0.00470273 0.00431275 0.00529337 0.00315057 0.00450253 0.00419568 0.04879893 0.00335490 0.00185618 0.00404710 0.00473941 0 0.00321004 0.00459937 0.00119286 0.00425923 0.00150687 0.00330915 0.00434789 0.00134818 0.00322160 0.00320291
s_3215 0.00356227 0.04769613 0.00258614 0.00394211 0.00424596 0.03321966 0.00257324 0.00380591 0.00397161 0.00106914 0.00211294 0.00211517 0.00189202 0.00178128 0.00357015 0.00513988 0.00397066 0.04816195 0.00411359 0.00017378 0.00494229 0.03463795 0.00365972 0.00022750 0.00173504 0.00012598 0.00372347 0.00615061 0.04857743 0.00207152 0.00026336 0.00522268 0.00385212 0.00023169 0.00401289 0.00389739 0.00374116 0.00214725 0.00384105 0.00399833 0.00379949 0.04761722 0.00040395 0.00224231 0.00361904 0.00180916 0.00321004 0 0.00386604 0.00174353 0.00417378 0.00186605 0.00035009 0.00389288 0.00190984 0.00012561 0.00021856
s_3285 0.00301006 0.04623469 0.00415798 0.00027896 0.00466031 0.08474892 0.00210197 0.00108388 0.00377075 0.00472556 0.00343064 0.00354703 0.00339164 0.00318304 0.00376587 0.00654850 0.00025833 0.04595071 0.00405094 0.00381275 0.00480754 0.08600726 0.00306418 0.00394368 0.00321917 0.00384295 0.00307770 0.00653300 0.04688395 0.00277531 0.00379955 0.00469388 0.00111848 0.00386274 0.00406174 0.00022746 0.00117356 0.00600698 0.00321644 0.00391760 0.00116174 0.04605815 0.00405631 0.00373278 0.00301214 0.00586082 0.00459937 0.00386604 0 0.00321809 0.00408868 0.00316401 0.00384013 0.00118619 0.00335457 0.00379701 0.00382928
s_3264 0.00283380 0.04871108 0.00065992 0.00333073 0.00405594 0.03577910 0.00126391 0.00313263 0.00330262 0.00242549 0.00043279 0.00047850 0.00028487 0.00011206 0.00296315 0.00577532 0.00331833 0.04818039 0.00343043 0.00161941 0.00476290 0.03714208 0.00282695 0.00175503 0.00009032 0.00167542 0.00284832 0.00602779 0.04918018 0.00097653 0.00168487 0.00336641 0.00316190 0.00174393 0.00337637 0.00327713 0.00320529 0.00361145 0.00232432 0.00322915 0.00317416 0.04859346 0.00191899 0.00081014 0.00286585 0.00333704 0.00119286 0.00174353 0.00321809 0 0.00330442 0.00018297 0.00184327 0.00322564 0.00023879 0.00158685 0.00175986
s_3237 0.00204462 0.04543961 0.00442606 0.00424940 0.00182481 0.04028615 0.00396047 0.00391649 0.00109145 0.00570209 0.00335038 0.00358508 0.00308756 0.00324771 0.00136181 0.00675873 0.00422500 0.04504140 0.00114619 0.00402514 0.00170463 0.03943454 0.00199350 0.00417104 0.00314393 0.00393121 0.00201583 0.00314217 0.04611037 0.00300095 0.00399302 0.00420671 0.00389923 0.00431839 0.00107639 0.00417294 0.00378724 0.00659822 0.00335978 0.00094463 0.00380974 0.04565376 0.00413050 0.00405047 0.00214472 0.00622078 0.00425923 0.00417378 0.00408868 0.00330442 0 0.00326940 0.00423856 0.00404941 0.00346201 0.00408572 0.00400583
s_3248 0.00277939 0.04697360 0.00087909 0.00316425 0.00402747 0.03235496 0.00171437 0.00377314 0.00323860 0.00258931 0.00048850 0.00061935 0.00031338 0.00020630 0.00319285 0.00554546 0.00322330 0.04656920 0.00319993 0.00200278 0.00455603 0.03336720 0.00263511 0.00180223 0.00016302 0.00173834 0.00268633 0.00590841 0.04733966 0.00098905 0.00181538 0.00324232 0.00372268 0.00188483 0.00329913 0.00322862 0.00330757 0.00390979 0.00240367 0.00312559 0.00335277 0.04677528 0.00194943 0.00090159 0.00270742 0.00350604 0.00150687 0.00186605 0.00316401 0.00018297 0.00326940 0 0.00200168 0.00347450 0.00032939 0.00166161 0.00181099
s_3214 0.00366849 0.04771138 0.00272135 0.00403985 0.00436267 0.03509003 0.00265189 0.00395360 0.00419949 0.00117975 0.00226396 0.00226063 0.00203268 0.00192238 0.00367269 0.00527270 0.00409520 0.04809544 0.00421928 0.00027796 0.00509101 0.03487071 0.00375804 0.00032539 0.00184572 0.00023607 0.00382945 0.00625763 0.04851513 0.00213604 0.00036511 0.00535384 0.00391619 0.00034576 0.00410955 0.00401129 0.00381311 0.00231973 0.00397020 0.00408602 0.00391896 0.04765088 0.00051857 0.00232504 0.00373691 0.00195093 0.00330915 0.00035009 0.00384013 0.00184327 0.00423856 0.00200168 0 0.00401079 0.00202126 0.00024245 0.00031989
s_3225 0.00283770 0.04717124 0.00416567 0.00125099 0.00399402 0.04867570 0.00175408 0.00031114 0.00335772 0.00482193 0.00354350 0.00358333 0.00347466 0.00330749 0.00356321 0.00650678 0.00122538 0.04707085 0.00361791 0.00386963 0.00429982 0.04890878 0.00286736 0.00388331 0.00324733 0.00381818 0.00287300 0.00587661 0.04776947 0.00257958 0.00391376 0.00449607 0.00035147 0.00387370 0.00353896 0.00120738 0.00026521 0.00627423 0.00337395 0.00351069 0.00030690 0.04729962 0.00406279 0.00388785 0.00292373 0.00538624 0.00434789 0.00389288 0.00118619 0.00322564 0.00404941 0.00347450 0.00401079 0 0.00332111 0.00382979 0.00386124
s_3255 0.00295656 0.04888938 0.00080833 0.00341373 0.00433039 0.03551621 0.00142635 0.00323826 0.00346304 0.00260850 0.00061322 0.00061726 0.00043273 0.00028459 0.00311128 0.00596428 0.00343249 0.04812974 0.00360108 0.00177785 0.00489373 0.03704500 0.00292366 0.00186665 0.00024429 0.00186576 0.00294129 0.00619288 0.04931498 0.00109571 0.00187140 0.00348587 0.00329911 0.00192916 0.00355607 0.00340027 0.00333184 0.00373447 0.00245914 0.00349675 0.00335750 0.04875093 0.00209966 0.00090708 0.00300631 0.00353247 0.00134818 0.00190984 0.00335457 0.00023879 0.00346201 0.00032939 0.00202126 0.00332111 0 0.00178364 0.00195299
s_3303 0.00372128 0.04744857 0.00257792 0.00388593 0.00434789 0.04215405 0.00235435 0.00369224 0.00429287 0.00091340 0.00188369 0.00203855 0.00186933 0.00157759 0.00373410 0.00515849 0.00386804 0.04723350 0.00404222 0.00009952 0.00518676 0.04154702 0.00366475 0.00013233 0.00155665 0.00007101 0.00375809 0.00644135 0.04888863 0.00215377 0.00014468 0.00546234 0.00375350 0.00012957 0.00399837 0.00387740 0.00358794 0.00200638 0.00374610 0.00391017 0.00373898 0.04752294 0.00031236 0.00220563 0.00360047 0.00175844 0.00322160 0.00012561 0.00379701 0.00158685 0.00408572 0.00166161 0.00024245 0.00382979 0.00178364 0 0.00015212
s_3289 0.00368534 0.04624513 0.00268168 0.00399626 0.00467301 0.04046687 0.00239465 0.00380207 0.00418444 0.00101675 0.00206585 0.00213401 0.00194203 0.00173983 0.00342995 0.00515298 0.00391851 0.04659133 0.00399014 0.00018265 0.00514564 0.04034298 0.00375207 0.00022680 0.00172221 0.00016158 0.00384274 0.00611818 0.04732997 0.00219242 0.00022484 0.00560341 0.00380234 0.00023295 0.00387587 0.00390132 0.00360018 0.00207317 0.00391499 0.00403553 0.00380977 0.04610216 0.00040829 0.00235384 0.00369123 0.00184905 0.00320291 0.00021856 0.00382928 0.00175986 0.00400583 0.00181099 0.00031989 0.00386124 0.00195299 0.00015212 0
