s_3521	s_3485	s_3471	s_3545	s_3527	s_3462	s_3472	s_3559	s_3518	s_3468	s_3524	s_3538	s_3469	s_3528	s_3511	s_3494	s_3526	s_3539	s_3495	s_3479	s_3516	s_3541	s_3476	s_3491	s_3487	s_3514	s_3509	s_3520	s_3543	s_3484	s_3512	s_3458	s_3507	s_3530	s_3482	s_3506	s_3540	s_3550	s_3546	s_3498	s_3452	s_3551	s_3481	s_3459	s_3499	s_3508	s_3542	s_3489	s_3557	s_3473	s_3457	s_3533	s_3517	s_3478	s_3456	s_3535	s_3493	s_3515	s_3470	s_3502	s_3453
s_3524 0.05647649 0.00032844 0.00114649 0.03292022 0.00076945 0.00045742 0.00111929 0.00239307 0.00067443 0.00079966 0 0.00080541 0.00078915 0.00083054 0.00083051 0.00067176 0.00102172 0.00098298 0.00062949 0.00078338 0.00031663 0.00100653 0.00062298 0.00031922 0.00026168 0.00081862 0.00070630 0.05506463 0.00098511 0.00070595 0.00071142 0.00093951 0.00031064 0.00057139 0.00066535 0.00098295 0.00097313 0.02895693 0.03196029 0.00100289 0.00014869 0.03201612 0.00033914 0.00096504 0.00099034 0.00098661 0.00101789 0.00007501 0.00097774 0.00098063 0.00095808 0.00024240 0.00071220 0.00009297 0.00110266 0.00073197 0.00063413 0.00033690 0.00090820 0.05449370 0.00008474
s_3538 0.07016466 0.00071906 0.00105768 0.02386794 0.00079598 0.00099027 0.00116768 0.00221896 0.00070503 0.00008786 0.00080541 0 0.00004070 0.00069792 0.00077876 0.00072852 0.00107600 0.00037393 0.00068672 0.00004484 0.00073372 0.00038866 0.00064172 0.00071911 0.00080989 0.00008806 0.00071739 0.07006538 0.00102422 0.00055393 0.00036957 0.00099026 0.00070275 0.00057471 0.00067098 0.00039019 0.00036501 0.02359558 0.02328958 0.00106817 0.00072863 0.02314127 0.00087333 0.00100638 0.00105800 0.00104839 0.00104181 0.00080484 0.00103950 0.00102703 0.00099754 0.00081121 0.00073461 0.00077921 0.00106373 0.00077649 0.00067957 0.00069027 0.00095660 0.07281801 0.00075805
s_3469 0.00663755 0.00071005 0.00110230 0.03617699 0.00070456 0.00108934 0.00124018 0.00221437 0.00063930 0.00010174 0.00078915 0.00004070 0 0.00062342 0.00073601 0.00068900 0.00105087 0.00036546 0.00062987 0.00010402 0.00066681 0.00038281 0.00066244 0.00066971 0.00080478 0.00009751 0.00067260 0.00508086 0.00103722 0.00055446 0.00036955 0.00101730 0.00067862 0.00050259 0.00068596 0.00037812 0.00034825 0.03226474 0.03052731 0.00104617 0.00078513 0.03020051 0.00090170 0.00105327 0.00104187 0.00108953 0.00105080 0.00076212 0.00102461 0.00106748 0.00103274 0.00080335 0.00071342 0.00077756 0.00111438 0.00068053 0.00070696 0.00066638 0.00104499 0.00491807 0.00074351
s_3528 0.05163304 0.00080199 0.00126953 0.03599576 0.00067970 0.00087197 0.00122169 0.00227865 0.00069858 0.00065698 0.00083054 0.00069792 0.00062342 0 0.00073106 0.00070195 0.00118451 0.00088214 0.00068665 0.00063441 0.00082566 0.00091465 0.00063363 0.00080933 0.00090345 0.00067874 0.00070624 0.05357026 0.00124996 0.00018554 0.00057402 0.00110511 0.00081791 0.00072958 0.00070432 0.00084406 0.00084643 0.02982836 0.03335400 0.00115954 0.00079416 0.02858346 0.00084900 0.00110988 0.00115449 0.00110725 0.00125444 0.00082068 0.00124008 0.00114391 0.00110963 0.00091414 0.00071195 0.00082881 0.00131418 0.00066757 0.00065571 0.00079195 0.00106576 0.07245156 0.00080007
s_3511 0.00277566 0.00071304 0.00086089 0.04407008 0.00036067 0.00108396 0.00083651 0.00220873 0.00019936 0.00072810 0.00083051 0.00077876 0.00073601 0.00073106 0 0.00025423 0.00073999 0.00097731 0.00019386 0.00074254 0.00072910 0.00098168 0.00019535 0.00073242 0.00096007 0.00080050 0.00023534 0.00279504 0.00071358 0.00060050 0.00051126 0.00065332 0.00069963 0.00032092 0.00027262 0.00095703 0.00098360 0.04048367 0.03795243 0.00070540 0.00066834 0.03752016 0.00079750 0.00065982 0.00068710 0.00068884 0.00071235 0.00080730 0.00070147 0.00067999 0.00067407 0.00087725 0.00028175 0.00081683 0.00074761 0.00031533 0.00021860 0.00072609 0.00063325 0.00313528 0.00078147
s_3494 0.00244421 0.00067456 0.00083384 0.04380385 0.00028767 0.00097521 0.00085964 0.00223705 0.00011734 0.00070105 0.00067176 0.00072852 0.00068900 0.00070195 0.00025423 0 0.00065922 0.00091447 0.00010623 0.00069888 0.00067216 0.00094146 0.00010802 0.00066976 0.00082834 0.00074666 0.00016933 0.00213952 0.00063836 0.00055486 0.00044216 0.00059953 0.00066325 0.00027652 0.00017407 0.00091162 0.00091011 0.03736787 0.04023037 0.00064209 0.00056551 0.03988799 0.00070056 0.00060452 0.00064484 0.00064596 0.00063616 0.00067285 0.00063819 0.00062921 0.00061635 0.00070089 0.00022254 0.00066191 0.00069964 0.00026067 0.00013422 0.00067395 0.00058869 0.00251096 0.00064640
s_3526 0.00282238 0.00097981 0.00040860 0.03591695 0.00079197 0.00123077 0.00043368 0.00187505 0.00062293 0.00104200 0.00102172 0.00107600 0.00105087 0.00118451 0.00073999 0.00065922 0 0.00125883 0.00060887 0.00106403 0.00102105 0.00129315 0.00059186 0.00100328 0.00105875 0.00110036 0.00065174 0.00295126 0.00012461 0.00105490 0.00079386 0.00012347 0.00099424 0.00070487 0.00063694 0.00127060 0.00123907 0.03222053 0.03294332 0.00012505 0.00086684 0.03276092 0.00098564 0.00011103 0.00011316 0.00012000 0.00010494 0.00098482 0.00011090 0.00012927 0.00014023 0.00095428 0.00067341 0.00098152 0.00026595 0.00066912 0.00061472 0.00097940 0.00013312 0.00251959 0.00099125
s_3539 0.08600726 0.00092283 0.00130473 0.02996825 0.00100632 0.00114841 0.00124674 0.00240011 0.00090302 0.00038239 0.00098298 0.00037393 0.00036546 0.00088214 0.00097731 0.00091447 0.00125883 0 0.00089190 0.00036580 0.00093193 0.00016913 0.00082609 0.00091121 0.00099231 0.00040754 0.00091377 0.08474892 0.00123080 0.00069922 0.00060235 0.00119897 0.00090371 0.00073184 0.00084644 0.00017297 0.00015338 0.02706642 0.02825182 0.00129150 0.00089748 0.02761311 0.00099637 0.00121462 0.00126547 0.00126541 0.00128347 0.00100389 0.00127037 0.00121716 0.00116858 0.00100461 0.00091940 0.00098847 0.00125408 0.00089858 0.00085525 0.00088245 0.00115562 0.08654327 0.00093117
s_3495 0.00139226 0.00062856 0.00075579 0.04594681 0.00024521 0.00093851 0.00081887 0.00229388 0.00004112 0.00065750 0.00062949 0.00068672 0.00062987 0.00068665 0.00019386 0.00010623 0.00060887 0.00089190 0 0.00064044 0.00062063 0.00089872 0.00002856 0.00062960 0.00082612 0.00071618 0.00010376 0.00159203 0.00057866 0.00049954 0.00037877 0.00054480 0.00060834 0.00023134 0.00011462 0.00088812 0.00088186 0.03821256 0.04220559 0.00057684 0.00052655 0.04174560 0.00068047 0.00055792 0.00057726 0.00057707 0.00057587 0.00063796 0.00056447 0.00055958 0.00057352 0.00067941 0.00015932 0.00061983 0.00065024 0.00021216 0.00007636 0.00063045 0.00052690 0.00140792 0.00062070
s_3479 0.00546009 0.00070269 0.00111048 0.02962791 0.00079150 0.00104102 0.00123863 0.00220066 0.00065032 0.00009394 0.00078338 0.00004484 0.00010402 0.00063441 0.00074254 0.00069888 0.00106403 0.00036580 0.00064044 0 0.00068993 0.00038855 0.00064627 0.00068406 0.00079291 0.00008707 0.00067790 0.00394849 0.00103868 0.00055306 0.00043784 0.00103441 0.00067775 0.00054296 0.00067399 0.00037533 0.00035477 0.02723657 0.02806414 0.00105601 0.00076351 0.02790303 0.00089313 0.00106663 0.00105907 0.00109285 0.00105960 0.00077402 0.00104756 0.00108435 0.00103856 0.00078668 0.00071729 0.00078994 0.00109990 0.00069530 0.00069387 0.00069087 0.00100762 0.00513622 0.00075346
