s_3521	s_3485	s_3471	s_3545	s_3527	s_3462	s_3472	s_3559	s_3518	s_3468	s_3524	s_3538	s_3469	s_3528	s_3511	s_3494	s_3526	s_3539	s_3495	s_3479	s_3516	s_3541	s_3476	s_3491	s_3487	s_3514	s_3509	s_3520	s_3543	s_3484	s_3512	s_3458	s_3507	s_3530	s_3482	s_3506	s_3540	s_3550	s_3546	s_3498	s_3452	s_3551	s_3481	s_3459	s_3499	s_3508	s_3542	s_3489	s_3557	s_3473	s_3457	s_3533	s_3517	s_3478	s_3456	s_3535	s_3493	s_3515	s_3470	s_3502	s_3453
s_3512 0.00230377 0.00072555 0.00095689 0.02427510 0.00045586 0.00104287 0.00105745 0.00194919 0.00037735 0.00040112 0.00071142 0.00036957 0.00036955 0.00057402 0.00051126 0.00044216 0.00079386 0.00060235 0.00037877 0.00043784 0.00063993 0.00062001 0.00037630 0.00068121 0.00085229 0.00039487 0.00042190 0.00243007 0.00076035 0.00050909 0 0.00077614 0.00069851 0.00037125 0.00043953 0.00064606 0.00059368 0.02369782 0.02136901 0.00083029 0.00072479 0.02165066 0.00080912 0.00079245 0.00081625 0.00084920 0.00079085 0.00074646 0.00078520 0.00081850 0.00079666 0.00072898 0.00043473 0.00075757 0.00085875 0.00046900 0.00042087 0.00063284 0.00075867 0.00594117 0.00070440
s_3458 0.00152806 0.00092585 0.00032792 0.03800815 0.00071920 0.00111213 0.00039723 0.00180232 0.00055058 0.00101796 0.00093951 0.00099026 0.00101730 0.00110511 0.00065332 0.00059953 0.00012347 0.00119897 0.00054480 0.00103441 0.00092643 0.00120627 0.00054768 0.00091007 0.00096635 0.00104542 0.00058463 0.00140018 0.00005986 0.00098086 0.00077614 0 0.00090527 0.00063678 0.00060216 0.00120760 0.00117578 0.03582754 0.03342442 0.00004394 0.00082801 0.03302691 0.00101279 0.00004620 0.00005154 0.00005163 0.00003355 0.00094577 0.00003534 0.00006524 0.00007830 0.00083838 0.00061758 0.00094283 0.00022222 0.00062326 0.00056893 0.00090796 0.00005954 0.00170959 0.00093497
s_3507 0.05375699 0.00004190 0.00111785 0.03854145 0.00072813 0.00063813 0.00109940 0.00227981 0.00063498 0.00068707 0.00031064 0.00070275 0.00067862 0.00081791 0.00069963 0.00066325 0.00099424 0.00090371 0.00060834 0.00067775 0.00004234 0.00091407 0.00058158 0.00003612 0.00046353 0.00074276 0.00065460 0.05404891 0.00096903 0.00076629 0.00069851 0.00090527 0 0.00052017 0.00062131 0.00090585 0.00089270 0.03305698 0.03552740 0.00097864 0.00027513 0.03555620 0.00046476 0.00092042 0.00095215 0.00096679 0.00097566 0.00026810 0.00097441 0.00093193 0.00091397 0.00040819 0.00069377 0.00029029 0.00102488 0.00063971 0.00060529 0.00006846 0.00089260 0.05670072 0.00026232
s_3530 0.06466248 0.00052359 0.00087160 0.03576023 0.00033015 0.00081456 0.00079745 0.00201590 0.00024159 0.00055456 0.00057139 0.00057471 0.00050259 0.00072958 0.00032092 0.00027652 0.00070487 0.00073184 0.00023134 0.00054296 0.00051008 0.00072703 0.00022948 0.00051980 0.00071216 0.00055852 0.00026757 0.06845971 0.00073592 0.00055446 0.00037125 0.00063678 0.00052017 0 0.00028542 0.00071195 0.00070831 0.03610339 0.03213251 0.00069368 0.00049453 0.03163642 0.00062919 0.00065356 0.00067112 0.00068161 0.00072674 0.00055358 0.00073177 0.00066994 0.00063373 0.00064413 0.00028832 0.00054394 0.00078413 0.00037381 0.00024198 0.00050254 0.00061577 0.06970798 0.00050338
s_3482 0.00171554 0.00062077 0.00081114 0.04049873 0.00032181 0.00100090 0.00084968 0.00205240 0.00013239 0.00069313 0.00066535 0.00067098 0.00068596 0.00070432 0.00027262 0.00017407 0.00063694 0.00084644 0.00011462 0.00067399 0.00062564 0.00086602 0.00013275 0.00062117 0.00078310 0.00070664 0.00018742 0.00178619 0.00059431 0.00055993 0.00043953 0.00060216 0.00062131 0.00028542 0 0.00087121 0.00083179 0.03362323 0.03709924 0.00060694 0.00057421 0.03699052 0.00072334 0.00061245 0.00060004 0.00060096 0.00059069 0.00063020 0.00057707 0.00062988 0.00060774 0.00068182 0.00023867 0.00067657 0.00070314 0.00028277 0.00015046 0.00063737 0.00058958 0.00189757 0.00063850
s_3506 0.05753776 0.00092292 0.00132724 0.03382037 0.00099917 0.00116855 0.00125611 0.00239849 0.00090339 0.00039943 0.00098295 0.00039019 0.00037812 0.00084406 0.00095703 0.00091162 0.00127060 0.00017297 0.00088812 0.00037533 0.00091663 0.00017941 0.00084415 0.00091650 0.00098224 0.00042835 0.00091017 0.05632540 0.00126469 0.00072205 0.00064606 0.00120760 0.00090585 0.00071195 0.00087121 0 0.00016005 0.03047075 0.03134668 0.00129633 0.00090602 0.03116428 0.00102579 0.00122573 0.00127784 0.00128559 0.00129626 0.00098992 0.00128955 0.00125051 0.00120600 0.00097657 0.00093391 0.00096898 0.00124400 0.00088068 0.00085746 0.00090659 0.00117989 0.08623399 0.00094102
s_3540 0.08513421 0.00092058 0.00129150 0.03078984 0.00101785 0.00111679 0.00122952 0.00244223 0.00089585 0.00037357 0.00097313 0.00036501 0.00034825 0.00084643 0.00098360 0.00091011 0.00123907 0.00015338 0.00088186 0.00035477 0.00093219 0.00015754 0.00081586 0.00092116 0.00099917 0.00040176 0.00091193 0.08510049 0.00123315 0.00070292 0.00059368 0.00117578 0.00089270 0.00070831 0.00083179 0.00016005 0 0.02917024 0.02964524 0.00128125 0.00089076 0.02952526 0.00098267 0.00119354 0.00125159 0.00125584 0.00129096 0.00099175 0.00127265 0.00120009 0.00118634 0.00100081 0.00091440 0.00094040 0.00122724 0.00090806 0.00085350 0.00088056 0.00114142 0.08596522 0.00094131
s_3550 0.09050557 0.03531969 0.04444089 0.00007427 0.03970385 0.03052789 0.02586792 0.03010173 0.03655810 0.03028038 0.02895693 0.02359558 0.03226474 0.02982836 0.04048367 0.03736787 0.03222053 0.02706642 0.03821256 0.02723657 0.03757668 0.02831876 0.03201856 0.03678618 0.02824715 0.02737947 0.03579127 0.09175881 0.02904667 0.03280193 0.02369782 0.03582754 0.03305698 0.03610339 0.03362323 0.03047075 0.02917024 0 0.00003785 0.03607546 0.03028021 0.00003978 0.02227848 0.03639249 0.03410437 0.03174951 0.03209948 0.02840711 0.03198444 0.03724006 0.03510095 0.03063320 0.03517930 0.02799417 0.03931275 0.05836446 0.02870808 0.02770745 0.02699144 0.08969035 0.02788194
s_3546 0.09121653 0.03626838 0.03871711 0.00007424 0.03801160 0.02944110 0.02334562 0.03588734 0.03983978 0.03078266 0.03196029 0.02328958 0.03052731 0.03335400 0.03795243 0.04023037 0.03294332 0.02825182 0.04220559 0.02806414 0.03892328 0.02863497 0.03489482 0.03820013 0.02645914 0.02837539 0.04065473 0.09379954 0.02799130 0.03497686 0.02136901 0.03342442 0.03552740 0.03213251 0.03709924 0.03134668 0.02964524 0.00003785 0 0.03596265 0.02884813 0.00003482 0.02351748 0.03535610 0.03249922 0.03117903 0.03278591 0.02858641 0.03318412 0.03504985 0.03312553 0.02785909 0.03669917 0.02967068 0.03702771 0.05245964 0.03041597 0.03068767 0.02447188 0.09133770 0.02953202
s_3498 0.00220791 0.00099617 0.00035566 0.04028634 0.00077013 0.00123225 0.00040755 0.00195959 0.00059762 0.00104539 0.00100289 0.00106817 0.00104617 0.00115954 0.00070540 0.00064209 0.00012505 0.00129150 0.00057684 0.00105601 0.00099164 0.00131302 0.00053660 0.00100573 0.00108241 0.00112560 0.00062933 0.00218711 0.00006098 0.00102914 0.00083029 0.00004394 0.00097864 0.00069368 0.00060694 0.00129633 0.00128125 0.03607546 0.03596265 0 0.00087137 0.03571475 0.00101346 0.00004867 0.00005827 0.00005544 0.00003939 0.00102331 0.00003884 0.00005777 0.00007537 0.00091121 0.00065827 0.00098780 0.00021746 0.00067208 0.00058883 0.00098766 0.00006529 0.00190003 0.00100601
s_3452 0.00448283 0.00028999 0.00099337 0.03326153 0.00073395 0.00043823 0.00103961 0.00221825 0.00055266 0.00071620 0.00014869 0.00072863 0.00078513 0.00079416 0.00066834 0.00056551 0.00086684 0.00089748 0.00052655 0.00076351 0.00027530 0.00090615 0.00053054 0.00026382 0.00029889 0.00074640 0.00057574 0.00541886 0.00084611 0.00066081 0.00072479 0.00082801 0.00027513 0.00049453 0.00057421 0.00090602 0.00089076 0.03028021 0.02884813 0.00087137 0 0.02915611 0.00034943 0.00084125 0.00086307 0.00088798 0.00087856 0.00011276 0.00086373 0.00086507 0.00084130 0.00027341 0.00059621 0.00012272 0.00091892 0.00059060 0.00058565 0.00029129 0.00083192 0.00510131 0.00010748
s_3551 0.09038424 0.03597865 0.03825343 0.00007621 0.03847862 0.02931345 0.02311448 0.03508935 0.03912333 0.03140341 0.03201612 0.02314127 0.03020051 0.02858346 0.03752016 0.03988799 0.03276092 0.02761311 0.04174560 0.02790303 0.03846855 0.02851363 0.03459499 0.03712445 0.02644179 0.02815352 0.03973354 0.08945605 0.02751275 0.03446280 0.02165066 0.03302691 0.03555620 0.03163642 0.03699052 0.03116428 0.02952526 0.00003978 0.00003482 0.03571475 0.02915611 0 0.02411380 0.03538851 0.03228758 0.03076643 0.03255292 0.02870489 0.03351090 0.03477159 0.03280603 0.02783869 0.03722798 0.02968890 0.03642707 0.05253823 0.02961116 0.03055509 0.02555295 0.09021903 0.02978123
s_3481 0.00419862 0.00046811 0.00118275 0.02518444 0.00077922 0.00061589 0.00118907 0.00215971 0.00070734 0.00092025 0.00033914 0.00087333 0.00090170 0.00084900 0.00079750 0.00070056 0.00098564 0.00099637 0.00068047 0.00089313 0.00046377 0.00101218 0.00071448 0.00047039 0.00042423 0.00086954 0.00072612 0.00472329 0.00098157 0.00080851 0.00080912 0.00101279 0.00046476 0.00062919 0.00072334 0.00102579 0.00098267 0.02227848 0.02351748 0.00101346 0.00034943 0.02411380 0 0.00102648 0.00099822 0.00097790 0.00099170 0.00029710 0.00099056 0.00106698 0.00101790 0.00041051 0.00075028 0.00032662 0.00112256 0.00071689 0.00070306 0.00048653 0.00099966 0.00425189 0.00033394
s_3459 0.00179144 0.00094102 0.00033726 0.03990411 0.00074075 0.00115159 0.00040034 0.00181849 0.00056441 0.00103606 0.00096504 0.00100638 0.00105327 0.00110988 0.00065982 0.00060452 0.00011103 0.00121462 0.00055792 0.00106663 0.00093412 0.00122490 0.00056340 0.00092878 0.00098388 0.00106818 0.00059076 0.00165496 0.00005614 0.00100592 0.00079245 0.00004620 0.00092042 0.00065356 0.00061245 0.00122573 0.00119354 0.03639249 0.03535610 0.00004867 0.00084125 0.03538851 0.00102648 0 0.00005035 0.00005282 0.00003342 0.00095945 0.00003491 0.00006216 0.00008064 0.00082920 0.00062480 0.00099355 0.00020574 0.00063570 0.00058486 0.00094285 0.00006882 0.00172615 0.00094313
s_3499 0.00175567 0.00097743 0.00034788 0.03600910 0.00075352 0.00123268 0.00040288 0.00190713 0.00058809 0.00103875 0.00099034 0.00105800 0.00104187 0.00115449 0.00068710 0.00064484 0.00011316 0.00126547 0.00057726 0.00105907 0.00096718 0.00128572 0.00055040 0.00100060 0.00105386 0.00110459 0.00062663 0.00161654 0.00006360 0.00101753 0.00081625 0.00005154 0.00095215 0.00067112 0.00060004 0.00127784 0.00125159 0.03410437 0.03249922 0.00005827 0.00086307 0.03228758 0.00099822 0.00005035 0 0.00005355 0.00003866 0.00098656 0.00004105 0.00006341 0.00006459 0.00087495 0.00065655 0.00097646 0.00021941 0.00064881 0.00058636 0.00093368 0.00006370 0.00175559 0.00096929
s_3508 0.00181381 0.00096853 0.00035839 0.03536143 0.00078466 0.00127064 0.00039983 0.00189968 0.00058703 0.00103820 0.00098661 0.00104839 0.00108953 0.00110725 0.00068884 0.00064596 0.00012000 0.00126541 0.00057707 0.00109285 0.00097234 0.00126126 0.00054291 0.00098637 0.00107570 0.00110749 0.00061550 0.00162278 0.00006388 0.00102010 0.00084920 0.00005163 0.00096679 0.00068161 0.00060096 0.00128559 0.00125584 0.03174951 0.03117903 0.00005544 0.00088798 0.03076643 0.00097790 0.00005282 0.00005355 0 0.00004002 0.00097505 0.00004340 0.00006127 0.00008070 0.00090178 0.00065708 0.00097830 0.00022884 0.00066311 0.00060869 0.00095017 0.00006098 0.00272500 0.00098747
s_3542 0.00323638 0.00100954 0.00034133 0.03635860 0.00079227 0.00125238 0.00040109 0.00195743 0.00059549 0.00103796 0.00101789 0.00104181 0.00105080 0.00125444 0.00071235 0.00063616 0.00010494 0.00128347 0.00057587 0.00105960 0.00101841 0.00129871 0.00053374 0.00101133 0.00108337 0.00111628 0.00063127 0.00312643 0.00005713 0.00102900 0.00079085 0.00003355 0.00097566 0.00072674 0.00059069 0.00129626 0.00129096 0.03209948 0.03278591 0.00003939 0.00087856 0.03255292 0.00099170 0.00003342 0.00003866 0.00004002 0 0.00103661 0.00002771 0.00004707 0.00006869 0.00092587 0.00064766 0.00098573 0.00020484 0.00070473 0.00058288 0.00096911 0.00004924 0.00417894 0.00100716
s_3489 0.00536683 0.00030514 0.00114013 0.03055389 0.00075018 0.00041054 0.00112986 0.00246969 0.00065644 0.00076954 0.00007501 0.00080484 0.00076212 0.00082068 0.00080730 0.00067285 0.00098482 0.00100389 0.00063796 0.00077402 0.00027091 0.00100870 0.00059349 0.00028677 0.00022898 0.00083290 0.00069981 0.00729548 0.00100698 0.00067505 0.00074646 0.00094577 0.00026810 0.00055358 0.00063020 0.00098992 0.00099175 0.02840711 0.02858641 0.00102331 0.00011276 0.02870489 0.00029710 0.00095945 0.00098656 0.00097505 0.00103661 0 0.00099976 0.00096264 0.00093395 0.00020660 0.00071668 0.00003672 0.00110003 0.00071344 0.00064283 0.00029240 0.00088811 0.00667750 0.00004692
s_3557 0.00349369 0.00099722 0.00034621 0.04069786 0.00079707 0.00124227 0.00039904 0.00198741 0.00058448 0.00102607 0.00097774 0.00103950 0.00102461 0.00124008 0.00070147 0.00063819 0.00011090 0.00127037 0.00056447 0.00104756 0.00101862 0.00128431 0.00052601 0.00099826 0.00109145 0.00110541 0.00062465 0.00419241 0.00005155 0.00100705 0.00078520 0.00003534 0.00097441 0.00073177 0.00057707 0.00128955 0.00127265 0.03198444 0.03318412 0.00003884 0.00086373 0.03351090 0.00099056 0.00003491 0.00004105 0.00004340 0.00002771 0.00099976 0 0.00004149 0.00007100 0.00091739 0.00065151 0.00097220 0.00021097 0.00068351 0.00057562 0.00097513 0.00005024 0.00358226 0.00099402
s_3473 0.00216861 0.00094894 0.00036650 0.03977199 0.00076170 0.00125176 0.00042664 0.00186524 0.00057496 0.00106218 0.00098063 0.00102703 0.00106748 0.00114391 0.00067999 0.00062921 0.00012927 0.00121716 0.00055958 0.00108435 0.00094497 0.00123691 0.00058609 0.00093393 0.00102467 0.00110197 0.00061530 0.00200449 0.00006550 0.00104891 0.00081850 0.00006524 0.00093193 0.00066994 0.00062988 0.00125051 0.00120009 0.03724006 0.03504985 0.00005777 0.00086507 0.03477159 0.00106698 0.00006216 0.00006341 0.00006127 0.00004707 0.00096264 0.00004149 0 0.00009789 0.00087896 0.00065872 0.00100176 0.00024073 0.00064605 0.00059779 0.00094138 0.00008027 0.00212236 0.00097153
s_3457 0.00153091 0.00092461 0.00034597 0.03726410 0.00073541 0.00113987 0.00042204 0.00178581 0.00057181 0.00102086 0.00095808 0.00099754 0.00103274 0.00110963 0.00067407 0.00061635 0.00014023 0.00116858 0.00057352 0.00103856 0.00092762 0.00120491 0.00057838 0.00091354 0.00097888 0.00105845 0.00060731 0.00186218 0.00008692 0.00100277 0.00079666 0.00007830 0.00091397 0.00063373 0.00060774 0.00120600 0.00118634 0.03510095 0.03312553 0.00007537 0.00084130 0.03280603 0.00101790 0.00008064 0.00006459 0.00008070 0.00006869 0.00093395 0.00007100 0.00009789 0 0.00082802 0.00063881 0.00094285 0.00023619 0.00062371 0.00059534 0.00091588 0.00010400 0.00190377 0.00094703
s_3533 0.01006094 0.00041713 0.00103633 0.03079688 0.00076357 0.00053462 0.00097149 0.00229667 0.00070983 0.00077867 0.00024240 0.00081121 0.00080335 0.00091414 0.00087725 0.00070089 0.00095428 0.00100461 0.00067941 0.00078668 0.00041657 0.00101368 0.00065813 0.00040815 0.00036142 0.00079513 0.00074484 0.01131829 0.00092309 0.00066219 0.00072898 0.00083838 0.00040819 0.00064413 0.00068182 0.00097657 0.00100081 0.03063320 0.02785909 0.00091121 0.00027341 0.02783869 0.00041051 0.00082920 0.00087495 0.00090178 0.00092587 0.00020660 0.00091739 0.00087896 0.00082802 0 0.00072488 0.00020449 0.00097545 0.00078036 0.00066349 0.00041450 0.00081117 0.00813609 0.00021168
s_3517 0.00161883 0.00070351 0.00081064 0.03962710 0.00031840 0.00101790 0.00086097 0.00216808 0.00016376 0.00072553 0.00071220 0.00073461 0.00071342 0.00071195 0.00028175 0.00022254 0.00067341 0.00091940 0.00015932 0.00071729 0.00071300 0.00093741 0.00016952 0.00070205 0.00085813 0.00075179 0.00020293 0.00168279 0.00065854 0.00058130 0.00043473 0.00061758 0.00069377 0.00028832 0.00023867 0.00093391 0.00091440 0.03517930 0.03669917 0.00065827 0.00059621 0.03722798 0.00075028 0.00062480 0.00065655 0.00065708 0.00064766 0.00071668 0.00065151 0.00065872 0.00063881 0.00072488 0 0.00070678 0.00068574 0.00028189 0.00019328 0.00070668 0.00061119 0.00399673 0.00069396
s_3478 0.01357685 0.00030189 0.00115920 0.03059973 0.00073921 0.00043768 0.00111982 0.00236927 0.00065345 0.00079228 0.00009297 0.00077921 0.00077756 0.00082881 0.00081683 0.00066191 0.00098152 0.00098847 0.00061983 0.00078994 0.00028735 0.00096850 0.00062167 0.00028129 0.00023090 0.00080981 0.00069277 0.01259225 0.00095194 0.00069949 0.00075757 0.00094283 0.00029029 0.00054394 0.00067657 0.00096898 0.00094040 0.02799417 0.02967068 0.00098780 0.00012272 0.02968890 0.00032662 0.00099355 0.00097646 0.00097830 0.00098573 0.00003672 0.00097220 0.00100176 0.00094285 0.00020449 0.00070678 0 0.00112650 0.00072478 0.00065608 0.00029625 0.00092091 0.01130998 0.00005216
s_3456 0.00206153 0.00103304 0.00041725 0.04281262 0.00079043 0.00127149 0.00046190 0.00165984 0.00064075 0.00108274 0.00110266 0.00106373 0.00111438 0.00131418 0.00074761 0.00069964 0.00026595 0.00125408 0.00065024 0.00109990 0.00103326 0.00124032 0.00066667 0.00102898 0.00109218 0.00111266 0.00067392 0.00189117 0.00021287 0.00106513 0.00085875 0.00022222 0.00102488 0.00078413 0.00070314 0.00124400 0.00122724 0.03931275 0.03702771 0.00021746 0.00091892 0.03642707 0.00112256 0.00020574 0.00021941 0.00022884 0.00020484 0.00110003 0.00021097 0.00024073 0.00023619 0.00097545 0.00068574 0.00112650 0 0.00074783 0.00068082 0.00103268 0.00024554 0.00180992 0.00100204
s_3535 0.00559085 0.00065336 0.00075777 0.06699758 0.00034256 0.00092882 0.00076490 0.00204866 0.00020364 0.00071684 0.00073197 0.00077649 0.00068053 0.00066757 0.00031533 0.00026067 0.00066912 0.00089858 0.00021216 0.00069530 0.00066111 0.00093927 0.00021835 0.00065419 0.00089533 0.00072495 0.00024167 0.00371811 0.00070427 0.00058532 0.00046900 0.00062326 0.00063971 0.00037381 0.00028277 0.00088068 0.00090806 0.05836446 0.05245964 0.00067208 0.00059060 0.05253823 0.00071689 0.00063570 0.00064881 0.00066311 0.00070473 0.00071344 0.00068351 0.00064605 0.00062371 0.00078036 0.00028189 0.00072478 0.00074783 0 0.00023631 0.00065974 0.00060760 0.00487844 0.00071395
s_3493 0.00174594 0.00064633 0.00078008 0.03147676 0.00030720 0.00096038 0.00084449 0.00212285 0.00008497 0.00070085 0.00063413 0.00067957 0.00070696 0.00065571 0.00021860 0.00013422 0.00061472 0.00085525 0.00007636 0.00069387 0.00060900 0.00086671 0.00008455 0.00064113 0.00084197 0.00071565 0.00013491 0.00154583 0.00058702 0.00051923 0.00042087 0.00056893 0.00060529 0.00024198 0.00015046 0.00085746 0.00085350 0.02870808 0.03041597 0.00058883 0.00058565 0.02961116 0.00070306 0.00058486 0.00058636 0.00060869 0.00058288 0.00064283 0.00057562 0.00059779 0.00059534 0.00066349 0.00019328 0.00065608 0.00068082 0.00023631 0 0.00060377 0.00055308 0.00172057 0.00064400
s_3515 0.05167805 0.00007222 0.00110866 0.03262485 0.00069669 0.00063387 0.00107426 0.00226773 0.00063982 0.00067955 0.00033690 0.00069027 0.00066638 0.00079195 0.00072609 0.00067395 0.00097940 0.00088245 0.00063045 0.00069087 0.00006545 0.00091803 0.00060394 0.00006594 0.00044340 0.00072046 0.00066687 0.05171565 0.00097151 0.00076509 0.00063284 0.00090796 0.00006846 0.00050254 0.00063737 0.00090659 0.00088056 0.02770745 0.03068767 0.00098766 0.00029129 0.03055509 0.00048653 0.00094285 0.00093368 0.00095017 0.00096911 0.00029240 0.00097513 0.00094138 0.00091588 0.00041450 0.00070668 0.00029625 0.00103268 0.00065974 0.00060377 0 0.00087193 0.05858546 0.00027032
s_3470 0.00204072 0.00088714 0.00034161 0.02657887 0.00072704 0.00127280 0.00041389 0.00175410 0.00053440 0.00105433 0.00090820 0.00095660 0.00104499 0.00106576 0.00063325 0.00058869 0.00013312 0.00115562 0.00052690 0.00100762 0.00089060 0.00116240 0.00054189 0.00087189 0.00092263 0.00101996 0.00057417 0.00178068 0.00006984 0.00098383 0.00075867 0.00005954 0.00089260 0.00061577 0.00058958 0.00117989 0.00114142 0.02699144 0.02447188 0.00006529 0.00083192 0.02555295 0.00099966 0.00006882 0.00006370 0.00006098 0.00004924 0.00088811 0.00005024 0.00008027 0.00010400 0.00081117 0.00061119 0.00092091 0.00024554 0.00060760 0.00055308 0.00087193 0 0.00158602 0.00094941
s_3502 0.00003760 0.05168672 0.00144963 0.09440913 0.00210136 0.00913038 0.00191043 0.09686842 0.00536579 0.03233511 0.05449370 0.07281801 0.00491807 0.07245156 0.00313528 0.00251096 0.00251959 0.08654327 0.00140792 0.00513622 0.05759623 0.08495356 0.00185272 0.05612673 0.01677221 0.07194697 0.00457339 0.00003575 0.00354290 0.00171571 0.00594117 0.00170959 0.05670072 0.06970798 0.00189757 0.08623399 0.08596522 0.08969035 0.09133770 0.00190003 0.00510131 0.09021903 0.00425189 0.00172615 0.00175559 0.00272500 0.00417894 0.00667750 0.00358226 0.00212236 0.00190377 0.00813609 0.00399673 0.01130998 0.00180992 0.00487844 0.00172057 0.05858546 0.00158602 0 0.00553693
s_3453 0.00582639 0.00026675 0.00111468 0.03037680 0.00071103 0.00038441 0.00112656 0.00229401 0.00065030 0.00074432 0.00008474 0.00075805 0.00074351 0.00080007 0.00078147 0.00064640 0.00099125 0.00093117 0.00062070 0.00075346 0.00026299 0.00095563 0.00061189 0.00025457 0.00022806 0.00077117 0.00067134 0.00514555 0.00098130 0.00069500 0.00070440 0.00093497 0.00026232 0.00050338 0.00063850 0.00094102 0.00094131 0.02788194 0.02953202 0.00100601 0.00010748 0.02978123 0.00033394 0.00094313 0.00096929 0.00098747 0.00100716 0.00004692 0.00099402 0.00097153 0.00094703 0.00021168 0.00069396 0.00005216 0.00100204 0.00071395 0.00064400 0.00027032 0.00094941 0.00553693 0
