MEE001	16302636	2771179
MEE002	19249789	14318913
MEE003	13345563	13324451
MEE004	19918438	19889379
MEE005	16613284	550906
MEE006	20508123	847326
MEE007	19059086	15994429
MEE008	18325267	18275269
MEE009	25948193	25894692
MEE010	30302521	30283762
MEE011	37791584	37739947
MEE012	22272693	6639737
MEE013	21442591	7057849
MEE014	27446656	19555999
MEE015	25347710	25311559
MEE016	21242253	21228978
MEE017	20688154	20539046
MEE018	21762630	2583605
MEE019	18763774	635708
MEE020	21580537	15019445
MEE021	18864925	8792276
MEE022	23181687	3635933
MEE023	20358313	8036413
MEE024	34533812	34448523
MEE025	22947897	22429821
MEE026	20359480	17103204
MEE027	20323511	20053257
MEE028	24489911	3885625
MEE029	24046658	24034896
MEE030	24444607	23660563
MEE031	22833847	452132
MEE032	21289532	5807689
MEE033	21557968	1634237
MEE034	36580593	13979706
MEE035	17114849	820820
MEE036	22283658	5939341
MEE037	21475255	8313812
MEE038	21538869	280347
MEE039	24940693	14153789
MEE040	21915756	14030949
MEE041	19500699	6103338
MEE042	24026210	1849529
MEE043	23484478	7170315
MEE044	23906287	20635675
MEE045	22051642	18214541
MEE046	26176248	19926074
MEE047	21169864	12080968
MEE048	23259487	11342735
MEE049	23578169	23558285
MEE050	28688301	28652711
MEE051	22050776	14293820
MEE052	19616701	9602431
MEE053	21878678	4229104
MEE054	22195391	11203720
MEE055	21651851	3140714
MEE056	20649825	2953745
MEE057	24443918	7089229
MEE058	16527193	2135506
MEE059	22455413	190882
MEE060	22198047	6274945
MEE061	27389092	27372765
MEE062	22970514	22690180
MEE063	27256754	27226806
MEE064	19575358	19485892
MEE065	21339589	21309868
MEE066	21771521	21693077
MEE067	24533741	7689093
MEE068	29682616	2533284
MEE069	22705418	21395690
MEE070	21323562	21303891
MEE071	17709924	4327041
MEE072	20321908	19231428
MEE073	17946624	17939022
MEE074	18194481	18068180
MEE075	24360604	13618895
MEE076	23541557	14787640
MEE077	21440210	18296251
MEE078	26243684	24486700
MEE079	22816284	22799174
MEE080	22392349	22370747
MEM001	11638976	5301456
MEM002	11444465	3434886
MEM003	12858816	3580744
MEM004	11519896	2059952
MEM005	9795788	2017160
MEM006	9294610	3214062
MEM007	14123910	3082853
MEM008	12593698	2485739
MEM009	12201512	3782436
MEM010	13061458	13035572
MEM011	15685455	15573166
MEM012	14492130	14438120
MEM013	16261612	15207193
MEM014	8971304	8449033
MEM015	10960532	10806435
MEM016	8121135	7941712
MEM017	13690098	13490195
MEM018	13855105	13840927
MEM019	12956565	12943045
MEM020	10541867	10531613
MEM021	12726958	12711362
MEM022	12879721	12837968
MEM023	14808325	14749449
MEM024	11323024	11309707
MEM025	11252142	11225657
MEM026	127855	83457
MEM027	10978718	10955986
MEM028	12610394	12598416
MEM029	9400571	9389290
MEM030	2480236	2436738
MEM031	6034299	5965547
MEM032	10134225	10095050
MEM033	14934353	14920795
WEE025	14959168	14698255
WEE026	15248116	13355722
WEE027	14931392	14684875
WEE028	15135008	15118737
WEE029	23121920	10714047
WEE030	15691180	5296208
WEE031	15639113	1947927
WEE032	13484830	5628266
WEE033	17397516	13745554
WEE034	16093681	8939558
WEE035	17796013	4207041
WEE036	15055646	1284914
WEE037	17382553	8296848
WEE038	15382347	2687034
WEE039	16044087	4036058
WEE040	15781363	1136328
WEE041	15399833	8540010
WEE042	15749945	6065922
WEE043	17373583	12304772
WEE044	15816842	11068305
WEE045	14973952	1072258
WEE046	15379949	9066233
WEE047	15676569	5130109
WEE048	16003362	1310684
WEE049	15366114	8114731
WEE050	15946493	2089604
WEE051	15723088	3686352
WEE052	15956834	3523755
WEE053	20987407	139723
WEE054	12539882	11690859
WEE055	15920230	14964577
WEE056	13121116	12912690
WEE057	14807037	2351296
WEE058	15858398	2349179
WEE059	17227434	8098121
WEE060	14854692	12035267
WEE061	17519801	12629177
WEE062	16439720	8423123
WEE063	14733101	14713938
WEE064	14205279	10726272
WEE065	15861067	8911634
WEE066	15006656	13615446
WEE067	17388800	3727319
WEE068	17160428	3586079
WEE069	12446192	8258550
WEE070	16649721	8037666
WEE071	16130910	7822117
WEE072	16131622	6478233
WEE073	16874182	15848971
WEE074	16249126	16030961
WEE075	16416488	3574048
WEE076	16473682	13166088
WEE077	15831108	9433096
WEE078	15294924	9983046
WEE079	15742121	7760288
WEE080	14278626	9115402
WEE081	15785711	5825511
WEE082	15257006	4970898
WEE083	14717102	4557277
WEE084	14617326	11157893
WEE085	20058954	17030575
WEE086	15985499	9299861
WEE087	16840083	12529990
WEE088	15769919	8607632
WEE089	15623128	10922820
WEE090	16918069	15049713
WEE091	17026179	6146222
WEE092	15477072	12613310
WEE093	18458816	18213281
WEE094	18428890	8751921
WEE095	16209727	9835748
WEE096	15556115	8043141
WEE097	15455341	10836028
WEE098	14204847	3223685
WEE099	15402974	5361269
WEE100	16497467	7821129
WEE101	17201966	16341136
WEE102	15284580	14990015
WEE103	17183933	9596959
WEE104	17255127	13133441
WEE105	17288794	9806530
WEE106	16620790	7363526
WEE107	13447567	8224941
WEE108	17240058	8845596
WEE109	15352756	6049289
WEE110	17440659	7123881
WEE111	15569105	6358229
WEE112	14092002	13769379
WEE113	18007106	11357372
WEE114	15375327	12032822
WEE115	17746822	13537558
WEE116	13622965	9847805
WEE117	17346601	5456670
WEE118	17698296	3574295
WEE119	15500755	10308148
WEE120	16249562	7323246
WEE121	15561973	14238006
WEE122	16565985	13258380
WEE123	15205652	15109091
WEE124	16257017	5082084
WEE125	15628325	15563849
WEE126	16104605	8061235
WEE127	15766714	8801037
WEE128	15389752	8020223
WEE129	14754237	6748609
WEE130	16462742	4321427
WEE131	15149846	14889058
WEE132	15839877	10298710
WEE133	17408860	3901113
WEE134	16403387	16051520
WEE135	17731794	6808716
WEE136	17012825	12416896
WEE137	16768257	16698543
WEE138	16430212	5589742
WEE139	15836194	15736406
WEE140	16745375	10260965
WEE141	18006364	1832631
WEE142	16951277	16879618
