Site Specificity	Turn Over	Human influence
Aerator	0.804088196312172	0.0769230769230769	0.00458881992296667
Bed Rail	-1.96062537318823	0.166666666666667	0.655860837779256
Bedside Locker	-1.43187458796007	0.136363636363636	0.4493519623835
Cardiac Table	-1.42932707149669	0.235294117647059	0.235234502156846
Door handle	-0.783936184852334	0.0625	0.465316951190636
Pulse Oxymeter	-1.58035399585789	0.1875	0.768113611018138
Sink Trap	0.213129008142642	0.125	0.0158847768741622
